model,method,layer,subspace_dimension,toy_projection_accuracy,toy_patch_recovery,toy_flip_rate,toy_sign_flip_rate,toy_logit_diff_percent,toy_logit_flip_percent,toy_sign_flip_percent,toy_corrupted_accuracy,toy_clean_accuracy,toy_patched_accuracy,sst_projection_accuracy,sst_patch_recovery,sst_flip_rate,sst_sign_flip_rate,sst_logit_diff_percent,sst_logit_flip_percent,sst_sign_flip_percent,sst_corrupted_accuracy,sst_clean_accuracy,sst_patched_accuracy,n_toy_test,n_sst,n_sst_pairs
gpt2-small,random,3,1,0.3333333333333333,0.02973573670519922,0.0,0.0357142873108387,2.9735736705199223,0.0,3.57142873108387,0.0,1.0,0.0,0.19174757281553398,-0.021472399452335707,0.021428552269934467,0.0,-2.147239945233571,2.1428552269934467,0.0,0.3444444537162781,0.6555555462837219,0.35111111402511597,30,1236,450
gpt2-small,mean_diff,4,1,1.0,0.6993392176960687,0.7857142686843872,0.5714285969734192,69.93392176960687,78.57142686843872,57.14285969734192,0.0,1.0,0.7857142686843872,0.8179611650485437,0.25766871115167883,0.23571426655564875,0.0,25.766871115167884,23.571426655564874,0.0,0.3444444537162781,0.6555555462837219,0.41777777671813965,30,1236,450
gpt2-small,kmeans,4,1,0.9,0.5936123672709014,0.6428571343421936,0.4285714328289032,59.36123672709014,64.28571343421936,42.85714328289032,0.0,1.0,0.6428571343421936,0.8179611650485437,0.23619631169934313,0.3428571236985059,0.0,23.619631169934312,34.28571236985059,0.0,0.3444444537162781,0.6555555462837219,0.4511111080646515,30,1236,450
gpt2-small,logistic_regression,4,1,1.0,0.6883260077478787,0.8571428656578064,0.5357142686843872,68.83260077478786,85.71428656578064,53.57142686843872,0.0,1.0,0.8571428656578064,0.8171521035598706,0.31901840036510953,0.32857139025415466,0.0,31.901840036510954,32.857139025415464,0.0,0.3444444537162781,0.6555555462837219,0.4466666579246521,30,1236,450
gpt2-small,pca,4,1,0.8333333333333334,0.45814981230603513,0.4285714328289032,0.3214285671710968,45.814981230603514,42.85714328289032,32.14285671710968,0.0,1.0,0.4285714328289032,0.8179611650485437,0.10736195612350372,0.18571424739701178,0.0,10.736195612350372,18.57142473970118,0.0,0.3444444537162781,0.6555555462837219,0.402222216129303,30,1236,450
gpt2-small,das,4,1,0.9666666666666667,0.9074890437873182,0.8214285969734192,0.6428571343421936,90.74890437873182,82.14285969734192,64.28571343421936,0.0,1.0,0.8214285969734192,0.8179611650485437,0.15337422303357673,0.19999998084136303,0.0,15.337422303357673,19.9999980841363,0.0,0.3444444537162781,0.6555555462837219,0.40666666626930237,30,1236,450
gpt2-small,das2d,4,2,,0.9151982503144224,0.8214285969734192,0.6428571343421936,91.51982503144224,82.14285969734192,64.28571343421936,0.0,1.0,0.8214285969734192,,0.12269937842686139,0.1571428763014941,0.0,12.269937842686138,15.714287630149409,0.0,0.3444444537162781,0.6555555462837219,0.3933333456516266,30,1236,450
gpt2-small,das3d,4,3,,0.9515418835800783,0.8571428656578064,0.6785714030265808,95.15418835800783,85.71428656578064,67.85714030265808,0.0,1.0,0.8571428656578064,,0.10736195612350372,0.14285714285714285,0.0,10.736195612350372,14.285714285714285,0.0,0.3444444537162781,0.6555555462837219,0.3888888955116272,30,1236,450
gpt2-small,random,4,1,0.5666666666666667,0.0011013467272191705,0.0,0.0,0.11013467272191706,0.0,0.0,0.0,1.0,0.0,0.1820388349514563,-0.07361964351138676,0.021428552269934467,0.0,-7.361964351138677,2.1428552269934467,0.0,0.3444444537162781,0.6555555462837219,0.35111111402511597,30,1236,450
gpt2-small,mean_diff,5,1,1.0,0.7081498077109637,0.7857142686843872,0.6071428656578064,70.81498077109637,78.57142686843872,60.71428656578064,0.0,1.0,0.7857142686843872,0.8163430420711975,0.40490797760536495,0.4571428954601311,0.0,40.490797760536495,45.714289546013106,0.0,0.3444444537162781,0.6555555462837219,0.4866666793823242,30,1236,450
gpt2-small,kmeans,5,1,0.8333333333333334,0.5220264589544874,0.5,0.3928571343421936,52.20264589544874,50.0,39.28571343421936,0.0,1.0,0.5,0.1820388349514563,0.18098159963489047,0.16428569512707733,0.0,18.098159963489046,16.428569512707732,0.0,0.3444444537162781,0.6555555462837219,0.3955555558204651,30,1236,450
gpt2-small,logistic_regression,5,1,1.0,0.686123351054012,0.8571428656578064,0.5357142686843872,68.6123351054012,85.71428656578064,53.57142686843872,0.0,1.0,0.8571428656578064,0.8155339805825242,0.41717791647650543,0.38571432403155964,0.0,41.71779164765054,38.57143240315597,0.0,0.3444444537162781,0.6555555462837219,0.46444445848464966,30,1236,450
gpt2-small,pca,5,1,0.8,0.4405286782269597,0.4285714328289032,0.3214285671710968,44.052867822695966,42.85714328289032,32.14285671710968,0.0,1.0,0.4285714328289032,0.18284789644012944,0.18404908820937949,0.25,0.0,18.404908820937948,25.0,0.0,0.3444444537162781,0.6555555462837219,0.42222222685813904,30,1236,450
gpt2-small,das,5,1,1.0,0.9129955936205557,0.7857142686843872,0.6428571343421936,91.29955936205558,78.57142686843872,64.28571343421936,0.0,1.0,0.7857142686843872,0.8179611650485437,0.24233128884832117,0.27142855226993445,0.0,24.233128884832116,27.142855226993447,0.0,0.3444444537162781,0.6555555462837219,0.42888888716697693,30,1236,450
gpt2-small,das2d,5,2,,0.9859580865519573,0.7857142686843872,0.6785714030265808,98.59580865519573,78.57142686843872,67.85714030265808,0.0,1.0,0.7857142686843872,,0.3098159552107299,0.35000003831727394,0.0,30.98159552107299,35.0000038317274,0.0,0.3444444537162781,0.6555555462837219,0.4533333480358124,30,1236,450
gpt2-small,das3d,5,3,,1.008810590014895,0.75,0.6071428656578064,100.88105900148949,75.0,60.71428656578064,0.0,1.0,0.75,,0.3865030667275183,0.42142860974584534,0.0,38.650306672751825,42.142860974584536,0.0,0.3444444537162781,0.6555555462837219,0.47555556893348694,30,1236,450
gpt2-small,random,5,1,0.43333333333333335,0.007709280048247515,0.0,0.0,0.7709280048247515,0.0,0.0,0.0,1.0,0.0,0.19579288025889968,-0.042944798904671413,0.07857139025415465,0.0,-4.294479890467142,7.8571390254154645,0.0,0.3444444537162781,0.6555555462837219,0.36888888478279114,30,1236,450
gpt2-small,mean_diff,6,1,1.0,0.7224669843196678,0.7857142686843872,0.5714285969734192,72.24669843196678,78.57142686843872,57.14285969734192,0.0,1.0,0.7857142686843872,0.8179611650485437,0.40797545589531026,0.4571428954601311,0.0,40.797545589531026,45.714289546013106,0.0,0.3444444537162781,0.6555555462837219,0.4866666793823242,30,1236,450
