model,method,layer,subspace_dimension,seed,epochs,learning_rate,batch_size,epoch,train_loss,evaluation_loss
gpt2-small,das2d,0,2,0,64,0.001,128,46,0.07723578065633774,0.08420442044734955
gpt2-small,das2d,0,2,0,64,0.001,128,47,0.08420442044734955,0.07723578065633774
gpt2-small,das2d,0,2,0,64,0.001,128,48,0.07723578065633774,0.07607436180114746
gpt2-small,das2d,0,2,0,64,0.001,128,49,0.07607436180114746,0.07723578065633774
gpt2-small,das2d,0,2,0,64,0.001,128,50,0.07723578065633774,0.08594658225774765
gpt2-small,das2d,0,2,0,64,0.001,128,51,0.08594658225774765,0.08304299414157867
gpt2-small,das2d,0,2,0,64,0.001,128,52,0.08304299414157867,0.07549364864826202
gpt2-small,das2d,0,2,0,64,0.001,128,53,0.07549364864826202,0.07200928032398224
gpt2-small,das2d,0,2,0,64,0.001,128,54,0.07200928032398224,0.0696864053606987
gpt2-small,das2d,0,2,0,64,0.001,128,55,0.0696864053606987,0.07200934737920761
gpt2-small,das2d,0,2,0,64,0.001,128,56,0.07200934737920761,0.07433219254016876
gpt2-small,das2d,0,2,0,64,0.001,128,57,0.07433219254016876,0.07317077368497849
gpt2-small,das2d,0,2,0,64,0.001,128,58,0.07317077368497849,0.07084786146879196
gpt2-small,das2d,0,2,0,64,0.001,128,59,0.07084786146879196,0.07607436180114746
gpt2-small,das2d,0,2,0,64,0.001,128,60,0.07607436180114746,0.07026714831590652
gpt2-small,das2d,0,2,0,64,0.001,128,61,0.07026714831590652,0.06794427335262299
gpt2-small,das2d,0,2,0,64,0.001,128,62,0.06794427335262299,0.06736356019973755
gpt2-small,das2d,0,2,0,64,0.001,128,63,0.06736356019973755,0.0632985457777977
gpt2-small,das3d,0,3,0,64,0.001,128,0,0.9889662861824036,0.9738675355911255
gpt2-small,das3d,0,3,0,64,0.001,128,1,0.9738675355911255,0.9401858448982239
gpt2-small,das3d,0,3,0,64,0.001,128,2,0.9401858448982239,0.8943089246749878
gpt2-small,das3d,0,3,0,64,0.001,128,3,0.8943089246749878,0.8106852173805237
