model,layer,method_a,method_b,absolute_cosine
gpt2-small,8,das,random,0.019816604
gpt2-small,8,random,mean_diff,0.0064681736
gpt2-small,8,random,kmeans,0.0064681736
gpt2-small,8,random,logistic_regression,0.012395719
gpt2-small,8,random,pca,0.011420287
gpt2-small,8,random,das,0.019816604
gpt2-small,8,random,random,1.0
gpt2-small,9,mean_diff,mean_diff,1.0000002
gpt2-small,9,mean_diff,kmeans,0.9259149
gpt2-small,9,mean_diff,logistic_regression,0.91595066
gpt2-small,9,mean_diff,pca,0.9304037
gpt2-small,9,mean_diff,das,0.8348487
gpt2-small,9,mean_diff,random,0.035530675
gpt2-small,9,kmeans,mean_diff,0.9259149
gpt2-small,9,kmeans,kmeans,0.9999999
gpt2-small,9,kmeans,logistic_regression,0.7441292
gpt2-small,9,kmeans,pca,0.9813009
gpt2-small,9,kmeans,das,0.78746915
gpt2-small,9,kmeans,random,0.03937332
gpt2-small,9,logistic_regression,mean_diff,0.91595066
gpt2-small,9,logistic_regression,kmeans,0.7441292
gpt2-small,9,logistic_regression,logistic_regression,1.0000002
gpt2-small,9,logistic_regression,pca,0.7363367
gpt2-small,9,logistic_regression,das,0.7543397
gpt2-small,9,logistic_regression,random,0.041518476
gpt2-small,9,pca,mean_diff,0.9304037
gpt2-small,9,pca,kmeans,0.9813009
gpt2-small,9,pca,logistic_regression,0.7363367
gpt2-small,9,pca,pca,0.9999999
gpt2-small,9,pca,das,0.78276694
gpt2-small,9,pca,random,0.028155662
gpt2-small,9,das,mean_diff,0.8348487
gpt2-small,9,das,kmeans,0.78746915
gpt2-small,9,das,logistic_regression,0.7543397
gpt2-small,9,das,pca,0.78276694
gpt2-small,9,das,das,1.0
gpt2-small,9,das,random,0.045866158
gpt2-small,9,random,mean_diff,0.035530675
gpt2-small,9,random,kmeans,0.03937332
gpt2-small,9,random,logistic_regression,0.041518476
gpt2-small,9,random,pca,0.028155662
gpt2-small,9,random,das,0.045866158
gpt2-small,9,random,random,1.0000001
gpt2-small,10,mean_diff,mean_diff,1.0000001
gpt2-small,10,mean_diff,kmeans,0.92632157
gpt2-small,10,mean_diff,logistic_regression,0.90132856
gpt2-small,10,mean_diff,pca,0.91750354
gpt2-small,10,mean_diff,das,0.8433552
gpt2-small,10,mean_diff,random,0.065686256
gpt2-small,10,kmeans,mean_diff,0.92632157
gpt2-small,10,kmeans,kmeans,0.9999997
gpt2-small,10,kmeans,logistic_regression,0.7185288
gpt2-small,10,kmeans,pca,0.9796601
gpt2-small,10,kmeans,das,0.790444
gpt2-small,10,kmeans,random,0.054393355
gpt2-small,10,logistic_regression,mean_diff,0.90132856
gpt2-small,10,logistic_regression,kmeans,0.7185288
gpt2-small,10,logistic_regression,logistic_regression,0.9999999
gpt2-small,10,logistic_regression,pca,0.6853473
gpt2-small,10,logistic_regression,das,0.7528698
gpt2-small,10,logistic_regression,random,0.0431138
gpt2-small,10,pca,mean_diff,0.91750354
gpt2-small,10,pca,kmeans,0.9796601
gpt2-small,10,pca,logistic_regression,0.6853473
gpt2-small,10,pca,pca,0.9999999
gpt2-small,10,pca,das,0.7727765
gpt2-small,10,pca,random,0.06877828
gpt2-small,10,das,mean_diff,0.8433552
gpt2-small,10,das,kmeans,0.790444
gpt2-small,10,das,logistic_regression,0.7528698
gpt2-small,10,das,pca,0.7727765
gpt2-small,10,das,das,0.9999998
gpt2-small,10,das,random,0.034094486
gpt2-small,10,random,mean_diff,0.065686256
gpt2-small,10,random,kmeans,0.054393355
gpt2-small,10,random,logistic_regression,0.0431138
gpt2-small,10,random,pca,0.06877828
gpt2-small,10,random,das,0.034094486
gpt2-small,10,random,random,0.99999976
gpt2-small,11,mean_diff,mean_diff,0.99999994
gpt2-small,11,mean_diff,kmeans,0.9178419
gpt2-small,11,mean_diff,logistic_regression,0.88555276
gpt2-small,11,mean_diff,pca,0.9054655
gpt2-small,11,mean_diff,das,0.7874371
gpt2-small,11,mean_diff,random,0.00046593347
gpt2-small,11,kmeans,mean_diff,0.9178419
gpt2-small,11,kmeans,kmeans,1.0000001
gpt2-small,11,kmeans,logistic_regression,0.66757095
gpt2-small,11,kmeans,pca,0.97464955
gpt2-small,11,kmeans,das,0.7333088
gpt2-small,11,kmeans,random,0.018984808
gpt2-small,11,logistic_regression,mean_diff,0.88555276
gpt2-small,11,logistic_regression,kmeans,0.66757095
gpt2-small,11,logistic_regression,logistic_regression,1.0
gpt2-small,11,logistic_regression,pca,0.637807
gpt2-small,11,logistic_regression,das,0.6908637
gpt2-small,11,logistic_regression,random,0.026607657
gpt2-small,11,pca,mean_diff,0.9054655
gpt2-small,11,pca,kmeans,0.97464955
gpt2-small,11,pca,logistic_regression,0.637807
gpt2-small,11,pca,pca,1.0000001
gpt2-small,11,pca,das,0.7134099
gpt2-small,11,pca,random,0.023184331
gpt2-small,11,das,mean_diff,0.7874371
gpt2-small,11,das,kmeans,0.7333088
gpt2-small,11,das,logistic_regression,0.6908637
gpt2-small,11,das,pca,0.7134099
gpt2-small,11,das,das,1.0000001
gpt2-small,11,das,random,0.009255493
gpt2-small,11,random,mean_diff,0.00046593347
gpt2-small,11,random,kmeans,0.018984808
gpt2-small,11,random,logistic_regression,0.026607657
gpt2-small,11,random,pca,0.023184331
gpt2-small,11,random,das,0.009255493
gpt2-small,11,random,random,1.0000002
