model,method,layer,dataset,clean_id,corrupted_id,clean_label,corrupted_label,clean_logit_diff,corrupted_logit_diff,patched_logit_diff,clean_margin,corrupted_margin,patched_margin,recovery,recovery_percent,flipped
qwen-0.6b,mean_diff,0,sst,sst-213,sst-8996,1,0,2.75,-1.125,-1.125,2.75,-1.125,-1.125,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8996,sst-213,0,1,-1.125,2.75,2.75,1.125,-2.75,-2.75,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8631,sst-8215,1,0,1.125,-3.625,-2.875,1.125,-3.625,-2.875,0.15789473684210525,15.789473684210526,0.0
qwen-0.6b,mean_diff,0,sst,sst-8215,sst-8631,0,1,-3.625,1.125,1.125,3.625,-1.125,-1.125,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-7,sst-8473,1,0,2.375,-2.375,-1.625,2.375,-2.375,-1.625,0.15789473684210525,15.789473684210526,0.0
qwen-0.6b,mean_diff,0,sst,sst-8473,sst-7,0,1,-2.375,2.375,2.5,2.375,-2.375,-2.5,-0.02631578947368421,-2.6315789473684212,0.0
qwen-0.6b,mean_diff,0,sst,sst-898,sst-8592,1,0,2.625,-0.625,-0.125,2.625,-0.625,-0.125,0.15384615384615385,15.384615384615385,0.0
qwen-0.6b,mean_diff,0,sst,sst-8592,sst-898,0,1,-0.625,2.625,2.625,0.625,-2.625,-2.625,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-762,sst-8712,1,0,2.125,-1.125,-0.5,2.125,-1.125,-0.5,0.19230769230769232,19.23076923076923,0.0
qwen-0.6b,mean_diff,0,sst,sst-8712,sst-762,0,1,-1.125,2.125,1.625,1.125,-2.125,-1.625,0.15384615384615385,15.384615384615385,0.0
qwen-0.6b,mean_diff,0,sst,sst-618,sst-8164,1,0,2.875,-1.875,-1.625,2.875,-1.875,-1.625,0.05263157894736842,5.2631578947368425,0.0
qwen-0.6b,mean_diff,0,sst,sst-8164,sst-618,0,1,-1.875,2.875,2.875,1.875,-2.875,-2.875,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-199,sst-8465,1,0,2.75,-3.0,-2.25,2.75,-3.0,-2.25,0.13043478260869565,13.043478260869565,0.0
qwen-0.6b,mean_diff,0,sst,sst-8465,sst-199,0,1,-3.0,2.75,2.75,3.0,-2.75,-2.75,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-1095,sst-8856,1,0,2.25,-2.25,-2.125,2.25,-2.25,-2.125,0.027777777777777776,2.7777777777777777,0.0
qwen-0.6b,mean_diff,0,sst,sst-8856,sst-1095,0,1,-2.25,2.25,2.125,2.25,-2.25,-2.125,0.027777777777777776,2.7777777777777777,0.0
qwen-0.6b,mean_diff,0,sst,sst-1041,sst-8513,1,0,2.625,-3.375,1.625,2.625,-3.375,1.625,0.8333333333333334,83.33333333333333,1.0
qwen-0.6b,mean_diff,0,sst,sst-8513,sst-1041,0,1,-3.375,2.625,2.75,3.375,-2.625,-2.75,-0.020833333333333332,-2.0833333333333335,0.0
qwen-0.6b,mean_diff,0,sst,sst-242,sst-8169,1,0,2.875,-3.125,-3.125,2.875,-3.125,-3.125,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8169,sst-242,0,1,-3.125,2.875,2.75,3.125,-2.875,-2.75,0.020833333333333332,2.0833333333333335,0.0
qwen-0.6b,mean_diff,0,sst,sst-447,sst-8288,1,0,2.25,-0.5,-0.375,2.25,-0.5,-0.375,0.045454545454545456,4.545454545454546,0.0
qwen-0.6b,mean_diff,0,sst,sst-8288,sst-447,0,1,-0.5,2.25,2.25,0.5,-2.25,-2.25,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-874,sst-8297,1,0,1.25,-3.25,-3.25,1.25,-3.25,-3.25,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8297,sst-874,0,1,-3.25,1.25,1.125,3.25,-1.25,-1.125,0.027777777777777776,2.7777777777777777,0.0
qwen-0.6b,mean_diff,0,sst,sst-27,sst-8296,1,0,2.0,-0.25,-0.25,2.0,-0.25,-0.25,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8296,sst-27,0,1,-0.25,2.0,2.0,0.25,-2.0,-2.0,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-829,sst-8273,1,0,0.5,-0.5,-0.5,0.5,-0.5,-0.5,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8273,sst-829,0,1,-0.5,0.5,0.625,0.5,-0.5,-0.625,-0.125,-12.5,0.0
qwen-0.6b,mean_diff,0,sst,sst-8744,sst-8707,1,0,1.5,-2.0,-2.0,1.5,-2.0,-2.0,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8707,sst-8744,0,1,-2.0,1.5,1.625,2.0,-1.5,-1.625,-0.03571428571428571,-3.5714285714285716,0.0
qwen-0.6b,mean_diff,0,sst,sst-922,sst-8206,1,0,2.0,-2.875,-1.875,2.0,-2.875,-1.875,0.20512820512820512,20.512820512820515,0.0
qwen-0.6b,mean_diff,0,sst,sst-8206,sst-922,0,1,-2.875,2.0,1.875,2.875,-2.0,-1.875,0.02564102564102564,2.5641025641025643,0.0
qwen-0.6b,mean_diff,0,sst,sst-51,sst-8578,1,0,2.0,-0.875,-1.125,2.0,-0.875,-1.125,-0.08695652173913043,-8.695652173913043,0.0
qwen-0.6b,mean_diff,0,sst,sst-8578,sst-51,0,1,-0.875,2.0,2.125,0.875,-2.0,-2.125,-0.043478260869565216,-4.3478260869565215,0.0
qwen-0.6b,mean_diff,0,sst,sst-441,sst-8436,1,0,1.5,-1.75,-1.375,1.5,-1.75,-1.375,0.11538461538461539,11.538461538461538,0.0
qwen-0.6b,mean_diff,0,sst,sst-8436,sst-441,0,1,-1.75,1.5,1.375,1.75,-1.5,-1.375,0.038461538461538464,3.8461538461538463,0.0
qwen-0.6b,mean_diff,0,sst,sst-8644,sst-8318,1,0,0.875,0.125,0.125,0.875,0.125,0.125,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8318,sst-8644,0,1,0.125,0.875,1.5,-0.125,-0.875,-1.5,-0.8333333333333334,-83.33333333333333,0.0
qwen-0.6b,mean_diff,0,sst,sst-643,sst-8508,1,0,2.0,-1.75,0.75,2.0,-1.75,0.75,0.6666666666666666,66.66666666666667,1.0
qwen-0.6b,mean_diff,0,sst,sst-8508,sst-643,0,1,-1.75,2.0,1.875,1.75,-2.0,-1.875,0.03333333333333333,3.3333333333333335,0.0
qwen-0.6b,mean_diff,0,sst,sst-963,sst-8455,1,0,1.75,-3.125,0.125,1.75,-3.125,0.125,0.6666666666666666,66.66666666666667,1.0
qwen-0.6b,mean_diff,0,sst,sst-8455,sst-963,0,1,-3.125,1.75,1.25,3.125,-1.75,-1.25,0.10256410256410256,10.256410256410257,0.0
qwen-0.6b,mean_diff,0,sst,sst-556,sst-8187,1,0,-0.5,-2.375,-2.5,-0.5,-2.375,-2.5,-0.06666666666666667,-6.666666666666667,0.0
qwen-0.6b,mean_diff,0,sst,sst-8187,sst-556,0,1,-2.375,-0.5,0.375,2.375,0.5,-0.375,-0.4666666666666667,-46.666666666666664,0.0
qwen-0.6b,mean_diff,0,sst,sst-56,sst-8021,1,0,2.625,-2.5,-2.375,2.625,-2.5,-2.375,0.024390243902439025,2.4390243902439024,0.0
qwen-0.6b,mean_diff,0,sst,sst-8021,sst-56,0,1,-2.5,2.625,2.375,2.5,-2.625,-2.375,0.04878048780487805,4.878048780487805,0.0
qwen-0.6b,mean_diff,0,sst,sst-8794,sst-8402,1,0,2.125,-2.25,-2.125,2.125,-2.25,-2.125,0.02857142857142857,2.857142857142857,0.0
qwen-0.6b,mean_diff,0,sst,sst-8402,sst-8794,0,1,-2.25,2.125,2.25,2.25,-2.125,-2.25,-0.02857142857142857,-2.857142857142857,0.0
qwen-0.6b,mean_diff,0,sst,sst-377,sst-8558,1,0,1.5,-1.125,-0.875,1.5,-1.125,-0.875,0.09523809523809523,9.523809523809524,0.0
qwen-0.6b,mean_diff,0,sst,sst-8558,sst-377,0,1,-1.125,1.5,1.5,1.125,-1.5,-1.5,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-900,sst-8643,1,0,2.75,-1.375,-1.25,2.75,-1.375,-1.25,0.030303030303030304,3.0303030303030303,0.0
qwen-0.6b,mean_diff,0,sst,sst-8643,sst-900,0,1,-1.375,2.75,2.625,1.375,-2.75,-2.625,0.030303030303030304,3.0303030303030303,0.0
qwen-0.6b,mean_diff,0,sst,sst-918,sst-9025,1,0,1.75,-2.0,-2.25,1.75,-2.0,-2.25,-0.06666666666666667,-6.666666666666667,0.0
qwen-0.6b,mean_diff,0,sst,sst-9025,sst-918,0,1,-2.0,1.75,2.125,2.0,-1.75,-2.125,-0.1,-10.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8430,sst-8396,1,0,0.25,-2.625,-2.75,0.25,-2.625,-2.75,-0.043478260869565216,-4.3478260869565215,0.0
qwen-0.6b,mean_diff,0,sst,sst-8396,sst-8430,0,1,-2.625,0.25,0.25,2.625,-0.25,-0.25,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-813,sst-7999,1,0,3.6875,-1.75,-0.25,3.6875,-1.75,-0.25,0.27586206896551724,27.586206896551722,0.0
qwen-0.6b,mean_diff,0,sst,sst-7999,sst-813,0,1,-1.75,3.6875,3.8125,1.75,-3.6875,-3.8125,-0.022988505747126436,-2.2988505747126435,0.0
qwen-0.6b,mean_diff,0,sst,sst-311,sst-8279,1,0,2.5,-0.625,-0.75,2.5,-0.625,-0.75,-0.04,-4.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8279,sst-311,0,1,-0.625,2.5,2.5,0.625,-2.5,-2.5,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8834,sst-8443,1,0,1.5,-2.875,-2.875,1.5,-2.875,-2.875,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8443,sst-8834,0,1,-2.875,1.5,1.5,2.875,-1.5,-1.5,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-423,sst-8379,1,0,1.875,-2.375,-2.25,1.875,-2.375,-2.25,0.029411764705882353,2.9411764705882355,0.0
qwen-0.6b,mean_diff,0,sst,sst-8379,sst-423,0,1,-2.375,1.875,1.875,2.375,-1.875,-1.875,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-635,sst-497,1,0,2.125,-1.5,-1.25,2.125,-1.5,-1.25,0.06896551724137931,6.896551724137931,0.0
qwen-0.6b,mean_diff,0,sst,sst-497,sst-635,0,1,-1.5,2.125,2.125,1.5,-2.125,-2.125,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-499,sst-8534,1,0,0.875,-0.25,0.625,0.875,-0.25,0.625,0.7777777777777778,77.77777777777777,1.0
qwen-0.6b,mean_diff,0,sst,sst-8534,sst-499,0,1,-0.25,0.875,1.0,0.25,-0.875,-1.0,-0.1111111111111111,-11.11111111111111,0.0
qwen-0.6b,mean_diff,0,sst,sst-707,sst-7986,1,0,3.625,-2.875,-2.75,3.625,-2.875,-2.75,0.019230769230769232,1.9230769230769231,0.0
qwen-0.6b,mean_diff,0,sst,sst-7986,sst-707,0,1,-2.875,3.625,3.625,2.875,-3.625,-3.625,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-270,sst-8761,1,0,3.75,-2.375,-1.25,3.75,-2.375,-1.25,0.1836734693877551,18.367346938775512,0.0
qwen-0.6b,mean_diff,0,sst,sst-8761,sst-270,0,1,-2.375,3.75,3.625,2.375,-3.75,-3.625,0.02040816326530612,2.0408163265306123,0.0
qwen-0.6b,mean_diff,0,sst,sst-225,sst-7960,1,0,2.125,0.0,0.125,2.125,0.0,0.125,0.058823529411764705,5.882352941176471,0.0
qwen-0.6b,mean_diff,0,sst,sst-7960,sst-225,0,1,0.0,2.125,2.25,-0.0,-2.125,-2.25,-0.058823529411764705,-5.882352941176471,0.0
qwen-0.6b,mean_diff,0,sst,sst-12,sst-9000,1,0,2.875,-2.125,-2.0,2.875,-2.125,-2.0,0.025,2.5,0.0
qwen-0.6b,mean_diff,0,sst,sst-9000,sst-12,0,1,-2.125,2.875,2.75,2.125,-2.875,-2.75,0.025,2.5,0.0
qwen-0.6b,mean_diff,0,sst,sst-8781,sst-8904,1,0,1.375,0.125,0.125,1.375,0.125,0.125,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8904,sst-8781,0,1,0.125,1.375,1.375,-0.125,-1.375,-1.375,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-258,sst-1031,1,0,3.0,0.375,0.625,3.0,0.375,0.625,0.09523809523809523,9.523809523809524,0.0
qwen-0.6b,mean_diff,0,sst,sst-1031,sst-258,0,1,0.375,3.0,3.0,-0.375,-3.0,-3.0,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-588,sst-8691,1,0,3.25,-1.625,-1.5,3.25,-1.625,-1.5,0.02564102564102564,2.5641025641025643,0.0
qwen-0.6b,mean_diff,0,sst,sst-8691,sst-588,0,1,-1.625,3.25,3.125,1.625,-3.25,-3.125,0.02564102564102564,2.5641025641025643,0.0
qwen-0.6b,mean_diff,0,sst,sst-248,sst-8488,1,0,1.75,-1.625,-1.625,1.75,-1.625,-1.625,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8488,sst-248,0,1,-1.625,1.75,1.875,1.625,-1.75,-1.875,-0.037037037037037035,-3.7037037037037037,0.0
qwen-0.6b,mean_diff,0,sst,sst-911,sst-8618,1,0,2.25,-1.375,-1.125,2.25,-1.375,-1.125,0.06896551724137931,6.896551724137931,0.0
qwen-0.6b,mean_diff,0,sst,sst-8618,sst-911,0,1,-1.375,2.25,2.25,1.375,-2.25,-2.25,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-113,sst-8262,1,0,1.625,-2.5,-1.75,1.625,-2.5,-1.75,0.18181818181818182,18.181818181818183,0.0
qwen-0.6b,mean_diff,0,sst,sst-8262,sst-113,0,1,-2.5,1.625,1.375,2.5,-1.625,-1.375,0.06060606060606061,6.0606060606060606,0.0
qwen-0.6b,mean_diff,0,sst,sst-1116,sst-8218,1,0,2.0,-2.0,-0.75,2.0,-2.0,-0.75,0.3125,31.25,0.0
qwen-0.6b,mean_diff,0,sst,sst-8218,sst-1116,0,1,-2.0,2.0,1.625,2.0,-2.0,-1.625,0.09375,9.375,0.0
qwen-0.6b,mean_diff,0,sst,sst-610,sst-8624,1,0,2.75,0.25,0.375,2.75,0.25,0.375,0.05,5.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8624,sst-610,0,1,0.25,2.75,2.75,-0.25,-2.75,-2.75,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-530,sst-8512,1,0,1.125,-1.625,-1.625,1.125,-1.625,-1.625,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-8512,sst-530,0,1,-1.625,1.125,1.25,1.625,-1.125,-1.25,-0.045454545454545456,-4.545454545454546,0.0
qwen-0.6b,mean_diff,0,sst,sst-1091,sst-8538,1,0,1.75,-1.75,-1.625,1.75,-1.75,-1.625,0.03571428571428571,3.5714285714285716,0.0
qwen-0.6b,mean_diff,0,sst,sst-8538,sst-1091,0,1,-1.75,1.75,1.75,1.75,-1.75,-1.75,0.0,0.0,0.0
qwen-0.6b,mean_diff,0,sst,sst-809,sst-8808,1,0,1.625,-3.125,-3.0,1.625,-3.125,-3.0,0.02631578947368421,2.6315789473684212,0.0
qwen-0.6b,mean_diff,0,sst,sst-8808,sst-809,0,1,-3.125,1.625,1.75,3.125,-1.625,-1.75,-0.02631578947368421,-2.6315789473684212,0.0
qwen-0.6b,mean_diff,0,sst,sst-786,sst-9032,1,0,2.625,-2.0,-1.875,2.625,-2.0,-1.875,0.02702702702702703,2.7027027027027026,0.0
qwen-0.6b,mean_diff,0,sst,sst-9032,sst-786,0,1,-2.0,2.625,2.75,2.0,-2.625,-2.75,-0.02702702702702703,-2.7027027027027026,0.0
qwen-0.6b,mean_diff,0,sst,sst-1068,sst-8688,1,0,2.75,-1.625,-1.5,2.75,-1.625,-1.5,0.02857142857142857,2.857142857142857,0.0
qwen-0.6b,mean_diff,0,sst,sst-8688,sst-1068,0,1,-1.625,2.75,2.25,1.625,-2.75,-2.25,0.11428571428571428,11.428571428571429,0.0
