model,layer,method_a,method_b,absolute_cosine
qwen-0.6b,10,kmeans,kmeans,0.99999976
qwen-0.6b,10,kmeans,logistic_regression,0.8985272
qwen-0.6b,10,kmeans,pca,0.94257927
qwen-0.6b,10,kmeans,das,0.72209394
qwen-0.6b,10,kmeans,random,0.053951293
qwen-0.6b,10,logistic_regression,mean_diff,0.92516184
qwen-0.6b,10,logistic_regression,kmeans,0.8985272
qwen-0.6b,10,logistic_regression,logistic_regression,1.0000001
qwen-0.6b,10,logistic_regression,pca,0.7433717
qwen-0.6b,10,logistic_regression,das,0.67233676
qwen-0.6b,10,logistic_regression,random,0.05217907
qwen-0.6b,10,pca,mean_diff,0.9277788
qwen-0.6b,10,pca,kmeans,0.94257927
qwen-0.6b,10,pca,logistic_regression,0.7433717
qwen-0.6b,10,pca,pca,0.99999964
qwen-0.6b,10,pca,das,0.6821446
qwen-0.6b,10,pca,random,0.04301618
qwen-0.6b,10,das,mean_diff,0.73574066
qwen-0.6b,10,das,kmeans,0.72209394
qwen-0.6b,10,das,logistic_regression,0.67233676
qwen-0.6b,10,das,pca,0.6821446
qwen-0.6b,10,das,das,1.0
qwen-0.6b,10,das,random,0.057655595
qwen-0.6b,10,random,mean_diff,0.057364225
qwen-0.6b,10,random,kmeans,0.053951293
qwen-0.6b,10,random,logistic_regression,0.05217907
qwen-0.6b,10,random,pca,0.04301618
qwen-0.6b,10,random,das,0.057655595
qwen-0.6b,10,random,random,1.0
qwen-0.6b,11,mean_diff,mean_diff,0.99999994
qwen-0.6b,11,mean_diff,kmeans,0.95661926
qwen-0.6b,11,mean_diff,logistic_regression,0.93439806
qwen-0.6b,11,mean_diff,pca,0.8962523
qwen-0.6b,11,mean_diff,das,0.8060657
qwen-0.6b,11,mean_diff,random,0.012335666
qwen-0.6b,11,kmeans,mean_diff,0.95661926
qwen-0.6b,11,kmeans,kmeans,1.0000002
qwen-0.6b,11,kmeans,logistic_regression,0.820174
qwen-0.6b,11,kmeans,pca,0.9719129
qwen-0.6b,11,kmeans,das,0.7455651
qwen-0.6b,11,kmeans,random,0.00388146
qwen-0.6b,11,logistic_regression,mean_diff,0.93439806
qwen-0.6b,11,logistic_regression,kmeans,0.820174
qwen-0.6b,11,logistic_regression,logistic_regression,1.0
qwen-0.6b,11,logistic_regression,pca,0.7082149
qwen-0.6b,11,logistic_regression,das,0.78668165
qwen-0.6b,11,logistic_regression,random,0.027417768
qwen-0.6b,11,pca,mean_diff,0.8962523
qwen-0.6b,11,pca,kmeans,0.9719129
qwen-0.6b,11,pca,logistic_regression,0.7082149
qwen-0.6b,11,pca,pca,1.0000006
qwen-0.6b,11,pca,das,0.6669163
qwen-0.6b,11,pca,random,0.0051069157
qwen-0.6b,11,das,mean_diff,0.8060657
qwen-0.6b,11,das,kmeans,0.7455651
qwen-0.6b,11,das,logistic_regression,0.78668165
qwen-0.6b,11,das,pca,0.6669163
qwen-0.6b,11,das,das,1.0000002
qwen-0.6b,11,das,random,0.0125969155
qwen-0.6b,11,random,mean_diff,0.012335666
qwen-0.6b,11,random,kmeans,0.00388146
qwen-0.6b,11,random,logistic_regression,0.027417768
qwen-0.6b,11,random,pca,0.0051069157
qwen-0.6b,11,random,das,0.0125969155
qwen-0.6b,11,random,random,1.0000002
qwen-0.6b,12,mean_diff,mean_diff,0.9999995
qwen-0.6b,12,mean_diff,kmeans,0.9999995
qwen-0.6b,12,mean_diff,logistic_regression,0.94660926
qwen-0.6b,12,mean_diff,pca,0.94648457
qwen-0.6b,12,mean_diff,das,0.815095
qwen-0.6b,12,mean_diff,random,0.066483304
qwen-0.6b,12,kmeans,mean_diff,0.9999995
qwen-0.6b,12,kmeans,kmeans,0.9999995
qwen-0.6b,12,kmeans,logistic_regression,0.94660926
qwen-0.6b,12,kmeans,pca,0.94648457
qwen-0.6b,12,kmeans,das,0.815095
qwen-0.6b,12,kmeans,random,0.066483304
qwen-0.6b,12,logistic_regression,mean_diff,0.94660926
qwen-0.6b,12,logistic_regression,kmeans,0.94660926
qwen-0.6b,12,logistic_regression,logistic_regression,0.99999976
qwen-0.6b,12,logistic_regression,pca,0.82145596
qwen-0.6b,12,logistic_regression,das,0.786049
qwen-0.6b,12,logistic_regression,random,0.04877554
qwen-0.6b,12,pca,mean_diff,0.94648457
qwen-0.6b,12,pca,kmeans,0.94648457
qwen-0.6b,12,pca,logistic_regression,0.82145596
qwen-0.6b,12,pca,pca,0.9999999
qwen-0.6b,12,pca,das,0.744245
qwen-0.6b,12,pca,random,0.07011818
qwen-0.6b,12,das,mean_diff,0.815095
qwen-0.6b,12,das,kmeans,0.815095
qwen-0.6b,12,das,logistic_regression,0.786049
qwen-0.6b,12,das,pca,0.744245
qwen-0.6b,12,das,das,1.0000002
qwen-0.6b,12,das,random,0.049884275
qwen-0.6b,12,random,mean_diff,0.066483304
qwen-0.6b,12,random,kmeans,0.066483304
qwen-0.6b,12,random,logistic_regression,0.04877554
qwen-0.6b,12,random,pca,0.07011818
qwen-0.6b,12,random,das,0.049884275
qwen-0.6b,12,random,random,1.0000002
qwen-0.6b,13,mean_diff,mean_diff,1.0000004
qwen-0.6b,13,mean_diff,kmeans,1.0000004
qwen-0.6b,13,mean_diff,logistic_regression,0.9373978
qwen-0.6b,13,mean_diff,pca,0.9444784
qwen-0.6b,13,mean_diff,das,0.7110703
qwen-0.6b,13,mean_diff,random,0.04811797
qwen-0.6b,13,kmeans,mean_diff,1.0000004
qwen-0.6b,13,kmeans,kmeans,1.0000004
qwen-0.6b,13,kmeans,logistic_regression,0.9373978
qwen-0.6b,13,kmeans,pca,0.9444784
qwen-0.6b,13,kmeans,das,0.7110703
qwen-0.6b,13,kmeans,random,0.04811797
qwen-0.6b,13,logistic_regression,mean_diff,0.9373978
qwen-0.6b,13,logistic_regression,kmeans,0.9373978
qwen-0.6b,13,logistic_regression,logistic_regression,1.0000002
qwen-0.6b,13,logistic_regression,pca,0.8027264
qwen-0.6b,13,logistic_regression,das,0.67465365
qwen-0.6b,13,logistic_regression,random,0.047954097
qwen-0.6b,13,pca,mean_diff,0.9444784
qwen-0.6b,13,pca,kmeans,0.9444784
qwen-0.6b,13,pca,logistic_regression,0.8027264
qwen-0.6b,13,pca,pca,1.0
qwen-0.6b,13,pca,das,0.6736037
qwen-0.6b,13,pca,random,0.03996753
qwen-0.6b,13,das,mean_diff,0.7110703
qwen-0.6b,13,das,kmeans,0.7110703
qwen-0.6b,13,das,logistic_regression,0.67465365
qwen-0.6b,13,das,pca,0.6736037
qwen-0.6b,13,das,das,1.0000004
qwen-0.6b,13,das,random,0.067424536
qwen-0.6b,13,random,mean_diff,0.04811797
qwen-0.6b,13,random,kmeans,0.04811797
qwen-0.6b,13,random,logistic_regression,0.047954097
qwen-0.6b,13,random,pca,0.03996753
qwen-0.6b,13,random,das,0.067424536
qwen-0.6b,13,random,random,1.0000005
qwen-0.6b,14,mean_diff,mean_diff,0.99999964
qwen-0.6b,14,mean_diff,kmeans,0.99999964
qwen-0.6b,14,mean_diff,logistic_regression,0.9432591
qwen-0.6b,14,mean_diff,pca,0.95872825
qwen-0.6b,14,mean_diff,das,0.7341229
qwen-0.6b,14,mean_diff,random,0.008071663
qwen-0.6b,14,kmeans,mean_diff,0.99999964
qwen-0.6b,14,kmeans,kmeans,0.99999964
qwen-0.6b,14,kmeans,logistic_regression,0.9432591
qwen-0.6b,14,kmeans,pca,0.95872825
qwen-0.6b,14,kmeans,das,0.7341229
qwen-0.6b,14,kmeans,random,0.008071663
qwen-0.6b,14,logistic_regression,mean_diff,0.9432591
qwen-0.6b,14,logistic_regression,kmeans,0.9432591
qwen-0.6b,14,logistic_regression,logistic_regression,1.0000002
qwen-0.6b,14,logistic_regression,pca,0.83502847
qwen-0.6b,14,logistic_regression,das,0.7012284
qwen-0.6b,14,logistic_regression,random,0.007385702
qwen-0.6b,14,pca,mean_diff,0.95872825
qwen-0.6b,14,pca,kmeans,0.95872825
qwen-0.6b,14,pca,logistic_regression,0.83502847
qwen-0.6b,14,pca,pca,0.9999998
qwen-0.6b,14,pca,das,0.6972316
qwen-0.6b,14,pca,random,0.009787493
qwen-0.6b,14,das,mean_diff,0.7341229
qwen-0.6b,14,das,kmeans,0.7341229
qwen-0.6b,14,das,logistic_regression,0.7012284
qwen-0.6b,14,das,pca,0.6972316
qwen-0.6b,14,das,das,1.0
qwen-0.6b,14,das,random,0.018405365
qwen-0.6b,14,random,mean_diff,0.008071663
